Word_NW,Translation,CDS_freq,AoA,Lex_cat
au,ouch,7,16,sound effects
bææ,baa baa,5,15,sound effects
brrr (bil-lyd),vroom,20,13,sound effects
gakk gakk,quack quack,3,17,sound effects
kykeliky,cock-a-doodle-doo,2,22,sound effects
mjau,meow,7,17,sound effects
møø,moo,7,15,sound effects
nam - nam,yum yum,19,13,sound effects
oi (uttrykk for overraskelse),oh,437,20,sound effects
tøff-tøff,choo choo,3,23,sound effects
voff voff,woof woof,52,15,sound effects
ei and,duck,4,24,common nouns
en ape,monkey,2,22,common nouns
en bjørn,bear,9,23,common nouns
et dyr,animal,29,25,common nouns
et ekorn,squirrel,7,25,common nouns
en elefant,elephant,8,22,common nouns
en elg,moose,5,28,common nouns
et esel,donkey,9,32,common nouns
en fisk,fish,11,20,common nouns
ei flue,fly,3,23,common nouns
en frosk,frog,4,24,common nouns
en fugl,bird,40,22,common nouns
ei gås,goose,2,36,common nouns
en gris,pig,45,20,common nouns
en hest,horse,39,19,common nouns
ei høne,hen,5,24,common nouns
en hund,dog,35,20,common nouns
en kanin,bunny,9,22,common nouns
en katt,cat,24,19,common nouns
en krokodille,crocodile,15,24,common nouns
ei ku,cow,10,20,common nouns
en kylling,chicken,6,25,common nouns
et lam,lamb,7,25,common nouns
en løve,lion,9,22,common nouns
ei mus,mouse,20,21,common nouns
en pingvin,penguin,2,27,common nouns
et reinsdyr,reindeer,3,36,common nouns
en sau,sheep,15,22,common nouns
en sjiraff,giraffe,3,23,common nouns
ei skilpadde,turtle,4,26,common nouns
en sommerfugl,butterfly,3,25,common nouns
en tiger,tiger,11,24,common nouns
ei ugle,owl,2,25,common nouns
en ulv,wolf,27,28,common nouns
en valp,puppy,2,34,common nouns
et akebrett,sled,3,25,common nouns
en bil,car,96,18,common nouns
en brannbil,firetruck,3,24,common nouns
en båt,boat,31,20,common nouns
en buss,bus,32,20,common nouns
et fly,airplane,42,19,common nouns
et helikopter,helicopter,2,24,common nouns
en lastebil,truck,4,23,common nouns
en motorsykkel,motorcycle,16,25,common nouns
en sykkel,bicycle,18,22,common nouns
et tog,train,18,20,common nouns
en traktor,tractor,24,20,common nouns
en trehjulssykkel,tricycle,7,31,common nouns
en ball,ball,74,16,common nouns
en ballong,balloon,7,20,common nouns
en blyant,pencil,5,26,common nouns
ei bok,book,167,18,common nouns
klosser,blocks,21,23,common nouns
ei dukke,doll,36,20,common nouns
lego,lego,3,25,common nouns
eventyr,fairytale,2,28,common nouns
fargeblyant,crayon,2,31,common nouns
en presang,present,7,25,common nouns
en leke,toy,69,22,common nouns
